StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;75;0;;;;
KnowledgeBase.addTriple;276;0;;;;
StorageAccessManager.setObjectProperty;278;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;199;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;201;0;;;;
StorageAccessManager.getDataProperty;203;0;;;;
PolicyManager.getAllowedModel;188;0;;;;
StorageAccessManager.getPersonByUserId;191;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;221;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;226;0;;;;
StorageAccessManager.getObjectProperty;264;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;70;0;;;;
KnowledgeBase.addTriple;282;0;;;;
StorageAccessManager.setObjectProperty;284;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;193;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;194;0;;;;
StorageAccessManager.getDataProperty;197;0;;;;
PolicyManager.getAllowedModel;188;0;;;;
StorageAccessManager.getPersonByUserId;191;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;231;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;237;0;;;;
StorageAccessManager.getObjectProperty;270;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;137;0;;;;
KnowledgeBase.addTriple;233;-4096;;;;
StorageAccessManager.setObjectProperty;234;-4096;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;192;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;193;0;;;;
StorageAccessManager.getDataProperty;195;0;;;;
PolicyManager.getAllowedModel;200;0;;;;
StorageAccessManager.getPersonByUserId;203;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;198;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;203;0;;;;
StorageAccessManager.getObjectProperty;251;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;72;0;;;;
KnowledgeBase.addTriple;290;0;;;;
StorageAccessManager.setObjectProperty;293;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;198;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;199;0;;;;
StorageAccessManager.getDataProperty;202;0;;;;
PolicyManager.getAllowedModel;187;0;;;;
StorageAccessManager.getPersonByUserId;191;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;139;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;145;0;;;;
StorageAccessManager.getObjectProperty;252;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;70;0;;;;
KnowledgeBase.addTriple;222;0;;;;
StorageAccessManager.setObjectProperty;224;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;208;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;210;0;;;;
StorageAccessManager.getDataProperty;212;0;;;;
PolicyManager.getAllowedModel;196;0;;;;
StorageAccessManager.getPersonByUserId;198;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;202;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;207;0;;;;
StorageAccessManager.getObjectProperty;250;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;136;245760;;;;
KnowledgeBase.addTriple;308;245760;;;;
StorageAccessManager.setObjectProperty;309;245760;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;141;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;142;0;;;;
StorageAccessManager.getDataProperty;144;0;;;;
PolicyManager.getAllowedModel;196;0;;;;
StorageAccessManager.getPersonByUserId;199;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;206;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;211;0;;;;
StorageAccessManager.getObjectProperty;253;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;74;0;;;;
KnowledgeBase.addTriple;271;0;;;;
StorageAccessManager.setObjectProperty;274;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;133;8192;;;;
KnowledgeBase.getPropertyObjectAsTriples;135;8192;;;;
StorageAccessManager.getDataProperty;137;8192;;;;
PolicyManager.getAllowedModel;192;0;;;;
StorageAccessManager.getPersonByUserId;194;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;201;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;206;0;;;;
StorageAccessManager.getObjectProperty;250;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;73;0;;;;
KnowledgeBase.addTriple;268;0;;;;
StorageAccessManager.setObjectProperty;270;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;198;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;200;0;;;;
StorageAccessManager.getDataProperty;201;0;;;;
PolicyManager.getAllowedModel;132;0;;;;
StorageAccessManager.getPersonByUserId;135;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;204;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;207;0;;;;
StorageAccessManager.getObjectProperty;228;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;119;0;;;;
KnowledgeBase.addTriple;286;0;;;;
StorageAccessManager.setObjectProperty;288;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;137;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;138;0;;;;
StorageAccessManager.getDataProperty;140;0;;;;
PolicyManager.getAllowedModel;211;0;;;;
StorageAccessManager.getPersonByUserId;215;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;272;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;276;0;;;;
StorageAccessManager.getObjectProperty;295;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;122;0;;;;
KnowledgeBase.addTriple;265;0;;;;
StorageAccessManager.setObjectProperty;266;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;139;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;141;0;;;;
StorageAccessManager.getDataProperty;143;0;;;;
PolicyManager.getAllowedModel;197;0;;;;
StorageAccessManager.getPersonByUserId;199;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;151;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;155;0;;;;
StorageAccessManager.getObjectProperty;301;-4096;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;69;0;;;;
KnowledgeBase.addTriple;229;0;;;;
StorageAccessManager.setObjectProperty;230;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;216;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;217;0;;;;
StorageAccessManager.getDataProperty;218;0;;;;
PolicyManager.getAllowedModel;193;0;;;;
StorageAccessManager.getPersonByUserId;197;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;205;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;210;0;;;;
StorageAccessManager.getObjectProperty;252;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;124;0;;;;
KnowledgeBase.addTriple;284;0;;;;
StorageAccessManager.setObjectProperty;287;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;140;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;142;0;;;;
StorageAccessManager.getDataProperty;143;0;;;;
PolicyManager.getAllowedModel;197;0;;;;
StorageAccessManager.getPersonByUserId;200;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;201;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;203;0;;;;
StorageAccessManager.getObjectProperty;226;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;133;0;;;;
KnowledgeBase.addTriple;278;0;;;;
StorageAccessManager.setObjectProperty;280;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
